name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,versatility,release_clause,talent,dominant_position,traits
L. Messi,32,24/6/1987,170,72,Argentina,FC Barcelona,94,94,95500000,565000,RW;CF;ST,Left,5,4,4,4,3,195800000,Dribbler;Distance_Shooter;Crosser;FK_Specialist;Acrobat;Clinical_Finisher;Complete_Forward,RW,Beat_Offside_Trap;Argues_with_Officials;Early_Crosser;Finesse_Shot;Speed_Dribbler;1-on-1_Rush;Giant_Throw-in;Outside_Foot_Shot
E. Hazard,28,7/1/1991,175,74,Belgium,Real Madrid,91,91,90000000,470000,LW;CF,Right,4,4,4,8,2,184500000,Speedster;Dribbler;Acrobat,LW,Beat_Offside_Trap;Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
Cristiano Ronaldo,34,5/2/1985,187,83,Portugal,Juventus,93,93,58500000,405000,ST;LW,Right,5,4,5,7,2,96500000,Speedster;Dribbler;Distance_Shooter;Acrobat;Clinical_Finisher;Complete_Forward,LW,Long_Throw-in;Selfish;Argues_with_Officials;Early_Crosser;Speed_Dribbler;Skilled_Dribbling
K. De Bruyne,28,28/6/1991,181,70,Belgium,Manchester City,91,91,90000000,370000,CAM;CM,Right,4,5,4,9,2,166500000,Dribbler;Playmaker ;Engine;Distance_Shooter;Crosser;Complete_Midfielder,RCM,Power_Free-Kick;Avoids_Using_Weaker_Foot;Dives_Into_Tackles;Leadership;Argues_with_Officials;Finesse_Shot
A. Griezmann,28,21/3/1991,176,73,France,FC Barcelona,89,89,69000000,370000,CF;ST;LW,Left,4,3,4,9,3,141500000,Dribbler;Engine;Acrobat;Clinical_Finisher;Complete_Forward,LW,Beat_Offside_Trap;Selfish;Argues_with_Officials;Finesse_Shot;Speed_Dribbler;Outside_Foot_Shot;Crowd_Favourite
L. Suárez,32,24/1/1987,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,ST,Right,5,4,3,8,1,108700000,Distance_Shooter;Strength;Clinical_Finisher;Complete_Forward,ST,Diver;Speed_Dribbler
L. Modric,33,9/9/1985,172,66,Croatia,Real Madrid,90,90,45000000,340000,CM,Right,4,4,4,9,1,92300000,Dribbler;Playmaker ;Crosser;Acrobat;Complete_Midfielder,RCM,Argues_with_Officials;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
T. Kroos,29,4/1/1990,183,76,Germany,Real Madrid,88,88,57000000,330000,CM,Right,4,5,3,5,1,116900000,Playmaker ;Crosser;Complete_Midfielder,LCM,Argues_with_Officials;Finesse_Shot;Crowd_Favourite
S. Agüero,31,2/6/1988,173,70,Argentina,Manchester City,89,89,60000000,300000,ST,Right,4,4,4,8,1,111000000,Dribbler;Clinical_Finisher;Complete_Forward,ST,Avoids_Using_Weaker_Foot;Outside_Foot_Shot
Sergio Ramos,33,30/3/1986,184,82,Spain,Real Madrid,89,89,31500000,300000,CB,Right,4,3,3,8,1,64600000,Aerial_Threat;Tackling ;Tactician ;Complete_Defender,LCB,Injury_Prone;Avoids_Using_Weaker_Foot;Leadership;Long_Passer;Giant_Throw-in
